0,-1.163086,0.238281,-1.051758,4.81493,-15.695393,-6.593897
1249,-1.136719,0.265625,-1.041016,4.736102,-15.614434,-6.480981
2497,-1.118164,0.285156,-1.030273,4.659403,-15.50791,-6.359542
3746,-1.087891,0.293945,-1.024414,4.667925,-15.38221,-6.250887
4996,-0.972656,0.323242,-0.963867,4.72758,-15.226684,-6.165667
6243,-0.904297,0.388672,-0.956055,4.725449,-15.032808,-6.078316
7492,-0.869141,0.456055,-0.987305,4.638098,-14.843193,-5.96327
8741,-0.874023,0.49707,-1.038086,4.544357,-14.69832,-5.782177
9989,-0.898438,0.543945,-1.131836,4.486833,-14.574751,-5.5393
11238,-0.869141,0.558594,-1.169922,4.478311,-14.474617,-5.28364
12487,-0.791992,0.567383,-1.170898,4.491094,-14.357439,-5.07059
13735,-0.673828,0.607422,-1.139648,4.427179,-14.161433,-4.932107
14984,-0.478516,0.796875,-1.151367,4.241826,-13.89086,-4.81493
16235,-0.408203,0.933594,-1.15918,3.886032,-13.567024,-4.659403
17483,-0.334961,0.985352,-1.113281,3.592023,-13.226144,-4.454875
18730,-0.303711,0.970703,-1.119141,3.449279,-12.970484,-4.278044
19979,-0.324219,0.902344,-1.205078,3.4088,-12.823479,-4.124648
21229,-0.310547,0.861328,-1.245117,3.425844,-12.733999,-3.949947
22477,-0.255859,0.838867,-1.257812,3.474845,-12.6573,-3.794421
23725,-0.131836,0.856445,-1.216797,3.502542,-12.508166,-3.736897
24973,0.046875,0.963867,-1.263672,3.442888,-12.307899,-3.696417
26222,0.104492,1.001953,-1.282227,3.372581,-12.116153,-3.613328
27471,0.180664,1.021484,-1.279297,3.355538,-11.907364,-3.543022
28720,0.261719,1.06543,-1.290039,3.306536,-11.709228,-3.519586
29970,0.401367,1.163086,-1.270508,3.189358,-11.491917,-3.487629
31217,0.462891,1.208984,-1.291992,3.014658,-11.229866,-3.413061
32465,0.504883,1.219727,-1.314453,2.863392,-10.99551,-3.319319
33716,0.541992,1.192383,-1.310547,2.799477,-10.82294,-3.225577
34963,0.568359,1.087891,-1.263672,2.771781,-10.701502,-3.125443
36212,0.632812,1.074219,-1.217773,2.758997,-10.580063,-3.063659
37460,0.676758,1.060547,-1.192383,2.773911,-10.443711,-3.021049
